id,company_name,year,quarter,month_name,day,date,state,zip_code,month,revenue
1,COMCAST CORP,2018,Qtr 4,December,31,2018-12-31,PA,19103-2838,12,94507000000
1,COMCAST CORP,2019,Qtr 1,March,31,2019-03-31,PA,19103-2838,3,26859000000
1,COMCAST CORP,2019,Qtr 2,June,30,2019-06-30,PA,19103-2838,6,26858000000
1,COMCAST CORP,2019,Qtr 3,September,30,2019-09-30,PA,19103-2838,9,26827000000
1,COMCAST CORP,2019,Qtr 4,December,31,2019-12-31,PA,19103-2838,12,137340000000
1,COMCAST CORP,2020,Qtr 1,March,31,2020-03-31,PA,19103-2838,3,26609000000
1,COMCAST CORP,2020,Qtr 2,June,30,2020-06-30,PA,19103-2838,6,23715000000
1,COMCAST CORP,2020,Qtr 3,September,30,2020-09-30,PA,19103-2838,9,25532000000
1,COMCAST CORP,2020,Qtr 4,December,31,2020-12-31,PA,19103-2838,12,131272000000
2,GENERAL MOTORS CO,2018,Qtr 4,December,31,2018-12-31,MI,48265-3000,12,161065000000
2,GENERAL MOTORS CO,2018,Qtr 4,December,31,2018-12-31,TX,76102,12,161065000000
2,GENERAL MOTORS CO,2019,Qtr 4,December,31,2019-12-31,MI,48265-3000,12,151791000000
2,GENERAL MOTORS CO,2019,Qtr 4,December,31,2019-12-31,TX,76102,12,151791000000
2,GENERAL MOTORS CO,2020,Qtr 4,December,31,2020-12-31,MI,48265-3000,12,136316000000
2,GENERAL MOTORS CO,2020,Qtr 4,December,31,2020-12-31,TX,76102,12,136316000000
3,KELLOGG CO,2018,Qtr 4,December,31,2018-12-31,MI,49016-3599,12,13547000000
3,KELLOGG CO,2019,Qtr 1,March,31,2019-03-31,MI,49016-3599,3,3522000000
3,KELLOGG CO,2019,Qtr 2,June,30,2019-06-30,MI,49016-3599,6,3461000000
3,KELLOGG CO,2019,Qtr 3,September,30,2019-09-30,MI,49016-3599,9,3372000000
3,KELLOGG CO,2019,Qtr 4,December,31,2019-12-31,MI,49016-3599,12,16801000000
3,KELLOGG CO,2020,Qtr 1,March,31,2020-03-31,MI,49016-3599,3,3412000000
3,KELLOGG CO,2020,Qtr 2,June,30,2020-06-30,MI,49016-3599,6,3465000000
3,KELLOGG CO,2020,Qtr 3,September,30,2020-09-30,MI,49016-3599,9,3429000000
3,KELLOGG CO,2020,Qtr 4,December,31,2020-12-31,MI,49016-3599,12,17234000000
4,NETFLIX INC,2018,Qtr 4,December,31,2018-12-31,CA,95032-7606,12,15794341000
4,NETFLIX INC,2019,Qtr 1,March,31,2019-03-31,CA,95032-7606,3,4520992000
4,NETFLIX INC,2019,Qtr 2,June,30,2019-06-30,CA,95032-7606,6,4923116000
4,NETFLIX INC,2019,Qtr 3,September,30,2019-09-30,CA,95032-7606,9,5244905000
4,NETFLIX INC,2019,Qtr 4,December,31,2019-12-31,CA,95032-7606,12,25623881000
4,NETFLIX INC,2020,Qtr 1,March,31,2020-03-31,CA,95032-7606,3,5767691000
4,NETFLIX INC,2020,Qtr 2,June,30,2020-06-30,CA,95032-7606,6,6148286000
4,NETFLIX INC,2020,Qtr 3,September,30,2020-09-30,CA,95032-7606,9,6435637000
4,NETFLIX INC,2020,Qtr 4,December,31,2020-12-31,CA,95032-7606,12,31640498000
5,PAPA JOHNS INTERNATIONAL INC,2018,Qtr 4,December,31,2018-12-31,KY,40269-9990,12,1662871000
5,PAPA JOHNS INTERNATIONAL INC,2019,Qtr 1,March,31,2019-03-31,KY,40269-9990,3,398405000
5,PAPA JOHNS INTERNATIONAL INC,2019,Qtr 2,June,30,2019-06-30,KY,40269-9990,6,399623000
5,PAPA JOHNS INTERNATIONAL INC,2019,Qtr 3,September,30,2019-09-30,KY,40269-9990,9,403706000
5,PAPA JOHNS INTERNATIONAL INC,2019,Qtr 4,December,31,2019-12-31,KY,40269-9990,12,2036762000
5,PAPA JOHNS INTERNATIONAL INC,2020,Qtr 1,March,31,2020-03-31,KY,40269-9990,3,409859000
5,PAPA JOHNS INTERNATIONAL INC,2020,Qtr 2,June,30,2020-06-30,KY,40269-9990,6,460623000
5,PAPA JOHNS INTERNATIONAL INC,2020,Qtr 3,September,30,2020-09-30,KY,40269-9990,9,472941000
5,PAPA JOHNS INTERNATIONAL INC,2020,Qtr 4,December,31,2020-12-31,KY,40269-9990,12,2283045000
6,PEPSICO INC,2018,Qtr 4,December,31,2018-12-31,NY,10577-1444,12,64661000000
6,PEPSICO INC,2019,Qtr 4,December,31,2019-12-31,NY,10577-1444,12,67161000000
6,PEPSICO INC,2020,Qtr 4,December,31,2020-12-31,NY,10577-1444,12,70372000000
7,STARBUCKS CORP,2019,Qtr 4,December,31,2019-12-31,WA,98134,12,7097100000
7,STARBUCKS CORP,2020,Qtr 4,December,31,2020-12-31,WA,98134,12,6749400000
8,"UBER TECHNOLOGIES, INC",2018,Qtr 4,December,31,2018-12-31,CA,94103,12,20866000000
8,"UBER TECHNOLOGIES, INC",2018,Qtr 4,December,31,2018-12-31,CA,94158,12,20866000000
8,"UBER TECHNOLOGIES, INC",2019,Qtr 4,December,31,2019-12-31,CA,94103,12,26000000000
8,"UBER TECHNOLOGIES, INC",2019,Qtr 4,December,31,2019-12-31,CA,94158,12,26000000000
8,"UBER TECHNOLOGIES, INC",2020,Qtr 1,March,31,2020-03-31,CA,94103,3,3248000000
8,"UBER TECHNOLOGIES, INC",2020,Qtr 2,June,30,2020-06-30,CA,94103,6,1913000000
8,"UBER TECHNOLOGIES, INC",2020,Qtr 3,September,30,2020-09-30,CA,94103,9,2813000000
8,"UBER TECHNOLOGIES, INC",2020,Qtr 4,December,31,2020-12-31,CA,94158,12,11139000000
9,WALMART INC.,2019,Qtr 1,January,31,2019-01-31,AR,72716,1,514405000000
9,WALMART INC.,2020,Qtr 1,January,31,2020-01-31,AR,72716,1,523964000000
9,WALMART INC.,2021,Qtr 1,January,31,2021-01-31,AR,72716,1,559151000000
10,WENDY'S CO,2018,Qtr 4,December,31,2018-12-31,OH,43017,12,1589936000
10,WENDY'S CO,2019,Qtr 1,March,31,2019-03-31,OH,43017,3,408583000
10,WENDY'S CO,2019,Qtr 2,June,30,2019-06-30,OH,43017,6,435348000
10,WENDY'S CO,2019,Qtr 3,September,30,2019-09-30,OH,43017,9,437880000
10,WENDY'S CO,2019,Qtr 4,December,31,2019-12-31,OH,43017,12,2136193000
10,WENDY'S CO,2020,Qtr 1,March,31,2020-03-31,OH,43017,3,404960000
10,WENDY'S CO,2020,Qtr 2,June,30,2020-06-30,OH,43017,6,402306000
10,WENDY'S CO,2020,Qtr 3,September,30,2020-09-30,OH,43017,9,452242000
10,WENDY'S CO,2020,Qtr 4,December,31,2020-12-31,OH,43017,12,2208142000
